iter	Logloss
0	0.6499365538
1	0.6138025689
2	0.5862237337
3	0.5630035291
4	0.5447643026
5	0.5299589323
6	0.5211116707
7	0.510607887
8	0.5025278695
9	0.4959819464
10	0.4894942056
11	0.4844567851
12	0.4783661077
13	0.4741323751
14	0.4704365124
15	0.4662960057
16	0.4635676937
17	0.4610373329
18	0.45872879
19	0.4564402444
20	0.454381771
21	0.4523538355
22	0.4503224348
23	0.4476367214
24	0.4457249442
25	0.4440122085
26	0.4422677161
27	0.4412455672
28	0.4402487547
29	0.4376073452
30	0.436403446
31	0.4354969882
32	0.4350815459
33	0.4328353732
34	0.432010028
35	0.4312689034
36	0.4302157432
37	0.429309869
38	0.4282715634
39	0.4275334984
40	0.4267931241
41	0.4264451189
42	0.4249375229
43	0.4245911123
44	0.4241735311
45	0.4232910574
46	0.421958214
47	0.4207404507
48	0.4197634626
49	0.4194415689
50	0.4192458602
51	0.4177041346
52	0.4169356198
53	0.4158774222
54	0.4153634379
55	0.4153261602
56	0.4144841487
57	0.4139397537
58	0.4134438298
59	0.4131840478
60	0.4128022802
61	0.4121406384
62	0.4112511941
63	0.4107306235
64	0.4097618215
65	0.4095485022
66	0.409275997
67	0.4088945574
68	0.4081853415
69	0.4079371905
70	0.4079176495
71	0.4078455277
72	0.4069214952
73	0.4048720715
74	0.4043551411
75	0.4041536675
76	0.403435151
77	0.4029204466
78	0.4028588884
79	0.402851544
80	0.4018912271
81	0.4016009114
82	0.4012263893
83	0.4007638374
84	0.399887812
85	0.399567791
86	0.3989853228
87	0.3983775345
88	0.3982250814
89	0.3968623995
90	0.3966554214
91	0.3965857201
92	0.3963976408
93	0.3956969749
94	0.3955352229
95	0.3946101575
96	0.3944361845
97	0.3942698424
98	0.3939243563
99	0.3933968638
100	0.3927639395
101	0.3924998578
102	0.3916427915
103	0.3915352315
104	0.3906172745
105	0.3894919773
106	0.3889112457
107	0.3883410862
108	0.387396094
109	0.3856332844
110	0.3845355029
111	0.3832291691
112	0.3831486217
113	0.3827569392
114	0.3822948181
115	0.3820562009
116	0.3819113666
117	0.3815813291
118	0.3814851999
119	0.3805739209
120	0.3788943423
121	0.3788452787
122	0.377072459
123	0.3752899638
124	0.3748910374
125	0.3746287113
126	0.3718574058
127	0.3715349283
128	0.3714589356
129	0.3714240166
130	0.3713948668
131	0.3713435007
132	0.3711475322
133	0.371048062
134	0.3700986386
135	0.3687574913
136	0.36774722
137	0.3672405113
138	0.3671734944
139	0.3670978015
140	0.3664652884
141	0.3656254491
142	0.3638870359
143	0.3624826653
144	0.3613411701
145	0.3593748144
146	0.3592736451
147	0.3589960606
148	0.3582560566
149	0.3573447355
150	0.3567401284
151	0.3566322586
152	0.3560509505
153	0.3555574275
154	0.3555254965
155	0.3544077629
156	0.3536199681
157	0.3531924946
158	0.352600196
159	0.3516985217
160	0.3511920517
161	0.3510033957
162	0.3503449019
163	0.3498352181
164	0.3493075255
165	0.3490188398
166	0.3486888998
167	0.3477184323
168	0.347545633
169	0.3470512405
170	0.3465757764
171	0.3463177491
172	0.3450069398
173	0.3436987223
174	0.3434011118
175	0.3428333221
176	0.3427309767
177	0.3424764838
178	0.34196382
179	0.3412238726
180	0.3411314997
181	0.3408502733
182	0.3399582875
183	0.3397649435
184	0.3385549648
185	0.3380104842
186	0.3368428043
187	0.3352651107
188	0.3350622151
189	0.3350595779
190	0.3347719298
191	0.3346825614
192	0.3339250856
193	0.3336561988
194	0.3335921072
195	0.3329908849
196	0.332827412
197	0.3320043708
198	0.3318145084
199	0.3316755747
