iter	Passed	Remaining
0	14	14875
1	29	14602
2	46	15419
3	62	15634
4	80	16036
5	97	16228
6	115	16347
7	132	16426
8	149	16495
9	166	16527
10	184	16594
11	201	16573
12	219	16634
13	236	16682
14	253	16667
15	270	16641
16	287	16613
17	304	16602
18	320	16570
19	337	16525
20	354	16514
21	371	16507
22	388	16495
23	405	16488
24	422	16475
25	439	16468
26	456	16459
27	474	16461
28	491	16472
29	509	16479
30	526	16453
31	543	16453
32	560	16420
33	577	16407
34	593	16375
35	610	16353
36	626	16317
37	645	16332
38	661	16306
39	678	16289
40	695	16264
41	712	16241
42	729	16243
43	746	16216
44	762	16191
45	778	16154
46	795	16134
47	813	16124
48	829	16102
49	846	16084
50	862	16053
51	879	16042
52	896	16023
53	913	16008
54	929	15978
55	944	15925
56	962	15925
57	978	15898
58	995	15882
59	1012	15857
60	1029	15848
61	1047	15851
62	1065	15840
63	1082	15824
64	1098	15807
65	1115	15786
66	1132	15768
67	1149	15755
68	1167	15746
69	1183	15726
70	1196	15659
71	1213	15644
72	1231	15637
73	1248	15621
74	1265	15604
75	1281	15584
76	1298	15570
77	1316	15557
78	1333	15547
79	1347	15490
80	1364	15481
81	1380	15459
82	1397	15443
83	1414	15428
84	1433	15425
85	1454	15461
86	1478	15516
87	1551	16076
88	1580	16172
89	1614	16326
90	1640	16387
91	1664	16423
92	1694	16522
93	1713	16513
94	1733	16512
95	1751	16494
96	1769	16470
97	1784	16429
98	1801	16392
99	1817	16359
100	1833	16321
101	1850	16289
102	1866	16257
103	1881	16206
104	1898	16181
105	1915	16154
106	1932	16127
107	1949	16100
108	1966	16077
109	1984	16056
110	2002	16036
111	2019	16011
112	2038	15997
113	2057	15989
114	2078	15995
115	2097	15982
116	2116	15969
117	2133	15950
118	2151	15929
119	2169	15910
120	2188	15896
121	2204	15865
122	2221	15839
123	2238	15814
124	2256	15794
125	2272	15766
126	2290	15747
127	2308	15725
128	2325	15700
129	2341	15671
130	2358	15647
131	2379	15647
132	2396	15624
133	2413	15600
134	2433	15592
135	2451	15571
136	2467	15546
137	2484	15521
138	2501	15495
139	2519	15476
140	2536	15453
141	2554	15437
142	2585	15496
143	2606	15494
144	2626	15488
145	2644	15467
146	2662	15449
147	2680	15433
148	2699	15416
149	2716	15395
150	2733	15371
151	2751	15348
152	2768	15327
153	2786	15309
154	2803	15283
155	2821	15265
156	2838	15239
157	2855	15216
158	2874	15204
159	2891	15180
160	2909	15161
161	2927	15142
162	2945	15124
163	2962	15102
164	2979	15077
165	2996	15055
166	3013	15032
167	3031	15011
168	3048	14987
169	3065	14967
170	3083	14947
171	3100	14927
172	3117	14902
173	3134	14878
174	3151	14855
175	3168	14833
176	3184	14805
177	3203	14792
178	3220	14770
179	3237	14749
180	3254	14726
181	3271	14702
182	3289	14683
183	3305	14659
184	3322	14638
185	3340	14620
186	3357	14598
187	3375	14577
188	3392	14556
189	3408	14530
190	3425	14509
191	3443	14492
192	3460	14471
193	3481	14464
194	3504	14467
195	3538	14513
196	3561	14515
197	3594	14560
198	3625	14594
199	3647	14591
200	3670	14591
201	3689	14576
202	3711	14572
203	3733	14567
204	3754	14559
205	3773	14543
206	3794	14535
207	3814	14523
208	3833	14507
209	3851	14488
210	3868	14465
211	3886	14447
212	3905	14431
213	3923	14411
214	3942	14396
215	3960	14376
216	3981	14365
217	4000	14351
218	4020	14338
219	4039	14320
220	4057	14302
221	4075	14281
222	4092	14260
223	4110	14240
